,ds,opt,randomseed,cls,resampling,grp,gmean,config,cls_grp,cls_resampler
236,abalone9-18,TPE,29,LR,NearMiss,Under Resampling,0.8819906723318562,"{'classifier': {'C': 30.415782151623834, 'l1_ratio': 0.00015493098132079997, 'name': 'LR', 'penalty_solver': 'l2+lbfgs', 'random_state': 29, 'tol': 0.013678308803065756}, 'sub': {'n_neighbors': 3, 'n_neighbors_ver3': 9, 'smo_grp': 'UNDER', 'type': 'NearMiss', 'version': 1}}",LR-Under Resampling,LR-NearMiss
237,ecoli-0_vs_1,TPE,39,RF,RandomUnderSampler,Under Resampling,0.9864367132317184,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 126, 'name': 'RF', 'random_state': 39}, 'sub': {'random_state': 39, 'replacement': True, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",RF-Under Resampling,RF-RandomUnderSampler
238,new-thyroid2,TPE,59,RF,AllKNN,Under Resampling,0.997202659436654,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 116, 'name': 'RF', 'random_state': 59}, 'sub': {'allow_minority': False, 'kind_sel': 'mode', 'n_neighbors': 18, 'smo_grp': 'UNDER', 'type': 'AllKNN'}}",RF-Under Resampling,RF-AllKNN
239,glass-0-1-6_vs_5,TPE,59,RF,RepeatedEditedNearestNeighbours,Under Resampling,0.9444798316444338,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 14, 'name': 'RF', 'random_state': 59}, 'sub': {'kind_sel': 'all', 'n_neighbors': 3, 'smo_grp': 'UNDER', 'type': 'RepeatedEditedNearestNeighbours'}}",RF-Under Resampling,RF-RepeatedEditedNearestNeighbours
240,yeast-1-4-5-8_vs_7,TPE,29,KNN,SMOTE,Over Resampling,0.721660732192372,"{'classifier': {'algorithm': 'ball_tree', 'n_neighbors': 10, 'name': 'KNN', 'p': 19, 'random_state': 29, 'weights': 'distance'}, 'sub': {'k_neighbors': 9, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",KNN-Over Resampling,KNN-SMOTE
241,ecoli-0_vs_1,TPE,29,RF,KMeansSMOTE,Over Resampling,0.9864367132317184,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 18, 'n_estimators': 73, 'name': 'RF', 'random_state': 29}, 'sub': {'cluster_balance_threshold': 0.18580927348761878, 'k_neighbors': 4, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'KMeansSMOTE'}}",RF-Over Resampling,RF-KMeansSMOTE
242,yeast-0-5-6-7-9_vs_4,TPE,39,DTC,EditedNearestNeighbours,Under Resampling,0.8183483285142256,"{'classifier': {'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 12, 'name': 'DTC', 'random_state': 39}, 'sub': {'kind_sel': 'all', 'n_neighbors': 18, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}",DTC-Under Resampling,DTC-EditedNearestNeighbours
243,ecoli4,TPE,39,KNN,CondensedNearestNeighbour,Under Resampling,0.9820017173891132,"{'classifier': {'algorithm': 'ball_tree', 'n_neighbors': 12, 'name': 'KNN', 'p': 9, 'random_state': 39, 'weights': 'uniform'}, 'sub': {'n_neighbors': 43, 'n_seeds_S': 34, 'random_state': 39, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",KNN-Under Resampling,KNN-CondensedNearestNeighbour
244,ecoli-0_vs_1,TPE,9,RF,ClusterCentroids,Under Resampling,0.9864367132317184,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 149, 'name': 'RF', 'random_state': 9}, 'sub': {'estimator': 'MiniBatchKMeans', 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'ClusterCentroids', 'voting': 'hard'}}",RF-Under Resampling,RF-ClusterCentroids
245,yeast-1-4-5-8_vs_7,TPE,39,LR,SMOTENC,Over Resampling,0.6852638780167581,"{'classifier': {'C': 70.93372840539601, 'l1_ratio': 0.2115081946371305, 'name': 'LR', 'penalty_solver': 'l1+saga', 'random_state': 39, 'tol': 0.022191687447351116}, 'sub': {'categorical_features': True, 'k_neighbors': 7, 'random_state': 39, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",LR-Over Resampling,LR-SMOTENC
246,glass0,TPE,29,RF,SMOTENC,Over Resampling,0.8785245270894627,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 63, 'name': 'RF', 'random_state': 29}, 'sub': {'categorical_features': True, 'k_neighbors': 5, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",RF-Over Resampling,RF-SMOTENC
247,glass6,TPE,39,RF,EditedNearestNeighbours,Under Resampling,0.9431522867870292,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 65, 'name': 'RF', 'random_state': 39}, 'sub': {'kind_sel': 'mode', 'n_neighbors': 10, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}",RF-Under Resampling,RF-EditedNearestNeighbours
248,glass6,TPE,59,RF,NeighbourhoodCleaningRule,Under Resampling,0.9404310715534582,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 19, 'n_estimators': 66, 'name': 'RF', 'random_state': 59}, 'sub': {'n_neighbors': 16, 'smo_grp': 'UNDER', 'threshold_cleaning': 0.23287886649023412, 'type': 'NeighbourhoodCleaningRule'}}",RF-Under Resampling,RF-NeighbourhoodCleaningRule
249,haberman,TPE,29,RF,ADASYN,Over Resampling,0.7052145472737665,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 12, 'min_samples_split': 15, 'n_estimators': 49, 'name': 'RF', 'random_state': 29}, 'sub': {'n_neighbors': 6, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'ADASYN'}}",RF-Over Resampling,RF-ADASYN
250,ecoli1,TPE,29,RF,AllKNN,Under Resampling,0.9039747055596116,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 54, 'name': 'RF', 'random_state': 29}, 'sub': {'allow_minority': False, 'kind_sel': 'all', 'n_neighbors': 8, 'smo_grp': 'UNDER', 'type': 'AllKNN'}}",RF-Under Resampling,RF-AllKNN
251,ecoli1,TPE,39,RF,CondensedNearestNeighbour,Under Resampling,0.9089743155396934,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 105, 'name': 'RF', 'random_state': 39}, 'sub': {'n_neighbors': 47, 'n_seeds_S': 5, 'random_state': 39, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",RF-Under Resampling,RF-CondensedNearestNeighbour
252,glass6,TPE,29,RF,ClusterCentroids,Under Resampling,0.9431522867870292,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 142, 'name': 'RF', 'random_state': 29}, 'sub': {'estimator': 'KMeans', 'random_state': 29, 'smo_grp': 'UNDER', 'type': 'ClusterCentroids', 'voting': 'hard'}}",RF-Under Resampling,RF-ClusterCentroids
253,glass1,TPE,39,RF,SMOTENC,Over Resampling,0.7927962233513453,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 97, 'name': 'RF', 'random_state': 39}, 'sub': {'categorical_features': True, 'k_neighbors': 7, 'random_state': 39, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",RF-Over Resampling,RF-SMOTENC
254,glass5,TPE,59,DTC,InstanceHardnessThreshold,Under Resampling,0.956812531206157,"{'classifier': {'criterion': 'entropy', 'max_depth': 12, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'name': 'DTC', 'random_state': 59}, 'sub': {'cv': 7, 'estimator': 'knn', 'random_state': 59, 'smo_grp': 'UNDER', 'type': 'InstanceHardnessThreshold'}}",DTC-Under Resampling,DTC-InstanceHardnessThreshold
255,ecoli3,TPE,59,RF,SMOTE,Over Resampling,0.9120502620550448,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 19, 'n_estimators': 52, 'name': 'RF', 'random_state': 59}, 'sub': {'k_neighbors': 5, 'random_state': 59, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",RF-Over Resampling,RF-SMOTE
256,yeast-2_vs_4,TPE,29,RF,RandomUnderSampler,Under Resampling,0.9488979880235158,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 79, 'name': 'RF', 'random_state': 29}, 'sub': {'random_state': 29, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",RF-Under Resampling,RF-RandomUnderSampler
257,glass-0-1-2-3_vs_4-5-6,TPE,9,RF,SVMSMOTE,Over Resampling,0.9497635546371884,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 19, 'min_samples_split': 4, 'n_estimators': 77, 'name': 'RF', 'random_state': 9}, 'sub': {'k_neighbors': 2, 'm_neighbors': 9, 'out_step': 0.8673084632496273, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",RF-Over Resampling,RF-SVMSMOTE
258,new-thyroid2,TPE,39,RF,SMOTE,Over Resampling,0.997202659436654,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 17, 'min_samples_split': 17, 'n_estimators': 109, 'name': 'RF', 'random_state': 39}, 'sub': {'k_neighbors': 3, 'random_state': 39, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",RF-Over Resampling,RF-SMOTE
259,glass-0-1-2-3_vs_4-5-6,TPE,59,RF,CondensedNearestNeighbour,Under Resampling,0.9594155695744148,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 134, 'name': 'RF', 'random_state': 59}, 'sub': {'n_neighbors': 2, 'n_seeds_S': 46, 'random_state': 59, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",RF-Under Resampling,RF-CondensedNearestNeighbour
260,page-blocks-1-3_vs_4,TPE,39,RF,CondensedNearestNeighbour,Under Resampling,0.9930614598326846,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 122, 'name': 'RF', 'random_state': 39}, 'sub': {'n_neighbors': 20, 'n_seeds_S': 17, 'random_state': 39, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",RF-Under Resampling,RF-CondensedNearestNeighbour
261,glass1,TPE,9,RF,ADASYN,Over Resampling,0.7932952763159953,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 88, 'name': 'RF', 'random_state': 9}, 'sub': {'n_neighbors': 2, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'ADASYN'}}",RF-Over Resampling,RF-ADASYN
262,yeast-2_vs_4,TPE,39,RF,RandomUnderSampler,Under Resampling,0.9535085484302488,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 16, 'n_estimators': 136, 'name': 'RF', 'random_state': 39}, 'sub': {'random_state': 39, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",RF-Under Resampling,RF-RandomUnderSampler
263,glass0,TPE,39,RF,RandomOverSampler,Over Resampling,0.8643405591346518,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 32, 'name': 'RF', 'random_state': 39}, 'sub': {'random_state': 39, 'smo_grp': 'OVER', 'type': 'RandomOverSampler'}}",RF-Over Resampling,RF-RandomOverSampler
264,glass1,TPE,29,RF,CondensedNearestNeighbour,Under Resampling,0.8234850021900109,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 1, 'min_samples_leaf': 7, 'min_samples_split': 9, 'n_estimators': 67, 'name': 'RF', 'random_state': 29}, 'sub': {'n_neighbors': 29, 'n_seeds_S': 14, 'random_state': 29, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",RF-Under Resampling,RF-CondensedNearestNeighbour
265,glass0,TPE,9,RF,SVMSMOTE,Over Resampling,0.8717177531131878,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 9, 'n_estimators': 29, 'name': 'RF', 'random_state': 9}, 'sub': {'k_neighbors': 6, 'm_neighbors': 3, 'out_step': 0.9547389416822453, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",RF-Over Resampling,RF-SVMSMOTE
266,haberman,TPE,39,RF,SMOTE,Over Resampling,0.7029709874290616,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 18, 'min_samples_split': 2, 'n_estimators': 114, 'name': 'RF', 'random_state': 39}, 'sub': {'k_neighbors': 9, 'random_state': 39, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",RF-Over Resampling,RF-SMOTE
267,abalone9-18,TPE,59,SVM,SMOTE,Over Resampling,0.905064282337596,"{'classifier': {'C': 66.33450904610852, 'coef0': -0.006971694377761156, 'degree': 4, 'gamma': 'value', 'gamma_value': 7.613576658140319, 'kernel': 'linear', 'name': 'SVM', 'probability': False, 'random_state': 59, 'shrinking': False, 'tol': 0.07892312451558775}, 'sub': {'k_neighbors': 4, 'random_state': 59, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",SVM-Over Resampling,SVM-SMOTE
268,glass0,TPE,59,RF,SVMSMOTE,Over Resampling,0.8754508439608948,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 87, 'name': 'RF', 'random_state': 59}, 'sub': {'k_neighbors': 2, 'm_neighbors': 3, 'out_step': 0.5877239189003498, 'random_state': 59, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",RF-Over Resampling,RF-SVMSMOTE
269,haberman,TPE,59,RF,SMOTETomek,Combine Resampling,0.6986898975274626,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 13, 'min_samples_split': 11, 'n_estimators': 41, 'name': 'RF', 'random_state': 59}, 'sub': {'random_state': 59, 'smo_grp': 'COMBINE', 'type': 'SMOTETomek'}}",RF-Combine Resampling,RF-SMOTETomek
270,glass1,TPE,59,RF,CondensedNearestNeighbour,Under Resampling,0.7869734270480171,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 149, 'name': 'RF', 'random_state': 59}, 'sub': {'n_neighbors': 24, 'n_seeds_S': 8, 'random_state': 59, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",RF-Under Resampling,RF-CondensedNearestNeighbour
271,page-blocks-1-3_vs_4,TPE,9,RF,SVMSMOTE,Over Resampling,0.9918806447200492,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 54, 'name': 'RF', 'random_state': 9}, 'sub': {'k_neighbors': 2, 'm_neighbors': 4, 'out_step': 0.39227088561725054, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",RF-Over Resampling,RF-SVMSMOTE
272,yeast-1-2-8-9_vs_7,TPE,29,LR,SMOTENC,Over Resampling,0.729477406595221,"{'classifier': {'C': 57.65343614912621, 'l1_ratio': 0.3655704252310516, 'name': 'LR', 'penalty_solver': 'l2+newton-cg', 'random_state': 29, 'tol': 0.0847390587703897}, 'sub': {'categorical_features': True, 'k_neighbors': 4, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",LR-Over Resampling,LR-SMOTENC
273,ecoli1,TPE,59,RF,AllKNN,Under Resampling,0.906006473590346,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 14, 'n_estimators': 107, 'name': 'RF', 'random_state': 59}, 'sub': {'allow_minority': False, 'kind_sel': 'all', 'n_neighbors': 1, 'smo_grp': 'UNDER', 'type': 'AllKNN'}}",RF-Under Resampling,RF-AllKNN
274,yeast-2_vs_4,TPE,59,RF,TomekLinks,Under Resampling,0.9620765628976788,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 6, 'n_estimators': 43, 'name': 'RF', 'random_state': 59}, 'sub': {'smo_grp': 'UNDER', 'type': 'TomekLinks'}}",RF-Under Resampling,RF-TomekLinks
275,ecoli1,TPE,9,RF,EditedNearestNeighbours,Under Resampling,0.906006473590346,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 16, 'n_estimators': 48, 'name': 'RF', 'random_state': 9}, 'sub': {'kind_sel': 'all', 'n_neighbors': 1, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}",RF-Under Resampling,RF-EditedNearestNeighbours
276,page-blocks-1-3_vs_4,TPE,59,RF,SVMSMOTE,Over Resampling,0.9918806447200492,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 108, 'name': 'RF', 'random_state': 59}, 'sub': {'k_neighbors': 6, 'm_neighbors': 2, 'out_step': 0.022868556026705428, 'random_state': 59, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",RF-Over Resampling,RF-SVMSMOTE
277,yeast-0-5-6-7-9_vs_4,TPE,59,RF,EditedNearestNeighbours,Under Resampling,0.8262857047564177,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 74, 'name': 'RF', 'random_state': 59}, 'sub': {'kind_sel': 'all', 'n_neighbors': 15, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}",RF-Under Resampling,RF-EditedNearestNeighbours
278,haberman,TPE,9,RF,ADASYN,Over Resampling,0.7093861108557924,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 32, 'name': 'RF', 'random_state': 9}, 'sub': {'n_neighbors': 8, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'ADASYN'}}",RF-Over Resampling,RF-ADASYN
279,yeast-0-5-6-7-9_vs_4,TPE,29,RF,SMOTE,Over Resampling,0.8278997788619833,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 14, 'min_samples_split': 2, 'n_estimators': 59, 'name': 'RF', 'random_state': 29}, 'sub': {'k_neighbors': 9, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",RF-Over Resampling,RF-SMOTE
280,yeast-1-2-8-9_vs_7,TPE,39,KNN,SMOTENC,Over Resampling,0.7431192828936952,"{'classifier': {'algorithm': 'auto', 'n_neighbors': 40, 'name': 'KNN', 'p': 17, 'random_state': 39, 'weights': 'distance'}, 'sub': {'categorical_features': True, 'k_neighbors': 6, 'random_state': 39, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",KNN-Over Resampling,KNN-SMOTENC
281,yeast-1-2-8-9_vs_7,TPE,9,KNN,SMOTENC,Over Resampling,0.7556798544332126,"{'classifier': {'algorithm': 'brute', 'n_neighbors': 7, 'name': 'KNN', 'p': 14, 'random_state': 9, 'weights': 'uniform'}, 'sub': {'categorical_features': True, 'k_neighbors': 6, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",KNN-Over Resampling,KNN-SMOTENC
282,vowel0,TPE,29,DTC,NeighbourhoodCleaningRule,Under Resampling,0.9662180943911032,"{'classifier': {'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 7, 'min_samples_split': 19, 'name': 'DTC', 'random_state': 29}, 'sub': {'n_neighbors': 15, 'smo_grp': 'UNDER', 'threshold_cleaning': 0.43799464030396684, 'type': 'NeighbourhoodCleaningRule'}}",DTC-Under Resampling,DTC-NeighbourhoodCleaningRule
283,yeast-1-4-5-8_vs_7,TPE,59,RF,SMOTEENN,Combine Resampling,0.7000460048314251,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 12, 'min_samples_split': 3, 'n_estimators': 74, 'name': 'RF', 'random_state': 59}, 'sub': {'random_state': 59, 'smo_grp': 'COMBINE', 'type': 'SMOTEENN'}}",RF-Combine Resampling,RF-SMOTEENN
284,yeast-0-5-6-7-9_vs_4,TPE,9,RF,NeighbourhoodCleaningRule,Under Resampling,0.8174654116712265,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 18, 'n_estimators': 95, 'name': 'RF', 'random_state': 9}, 'sub': {'n_neighbors': 5, 'smo_grp': 'UNDER', 'threshold_cleaning': 0.4886035872872093, 'type': 'NeighbourhoodCleaningRule'}}",RF-Under Resampling,RF-NeighbourhoodCleaningRule
285,abalone9-18,TPE,9,SVM,ADASYN,Over Resampling,0.9004613207627149,"{'classifier': {'C': 82.3427992598431, 'coef0': -0.8565857418431722, 'degree': 2, 'gamma': 'value', 'gamma_value': 3.5985247421791713, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 9, 'shrinking': True, 'tol': 0.03877359241963919}, 'sub': {'n_neighbors': 8, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'ADASYN'}}",SVM-Over Resampling,SVM-ADASYN
286,yeast-1-2-8-9_vs_7,TPE,59,RF,RandomUnderSampler,Under Resampling,0.7745099311930647,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 45, 'name': 'RF', 'random_state': 59}, 'sub': {'random_state': 59, 'replacement': True, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",RF-Under Resampling,RF-RandomUnderSampler
287,yeast5,TPE,29,LR,EditedNearestNeighbours,Under Resampling,0.9803281833191084,"{'classifier': {'C': 97.30748748000742, 'l1_ratio': 0.08999792273088673, 'name': 'LR', 'penalty_solver': 'l2+lbfgs', 'random_state': 29, 'tol': 0.09719445186160945}, 'sub': {'kind_sel': 'all', 'n_neighbors': 15, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}",LR-Under Resampling,LR-EditedNearestNeighbours
288,abalone9-18,TPE,39,SVM,ADASYN,Over Resampling,0.8837637645402602,"{'classifier': {'C': 62.7807290621454, 'coef0': -0.8969538024047148, 'degree': 4, 'gamma': 'auto', 'gamma_value': 5.179676861315502, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 39, 'shrinking': False, 'tol': 0.07667324654190562}, 'sub': {'n_neighbors': 6, 'random_state': 39, 'smo_grp': 'OVER', 'type': 'ADASYN'}}",SVM-Over Resampling,SVM-ADASYN
289,yeast6,TPE,29,KNN,SVMSMOTE,Over Resampling,0.9018153182364984,"{'classifier': {'algorithm': 'auto', 'n_neighbors': 46, 'name': 'KNN', 'p': 1, 'random_state': 29, 'weights': 'uniform'}, 'sub': {'k_neighbors': 5, 'm_neighbors': 6, 'out_step': 0.5814368138937205, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",KNN-Over Resampling,KNN-SVMSMOTE
290,shuttle-c0-vs-c4,TPE,29,DTC,SMOTETomek,Combine Resampling,1.0,"{'classifier': {'criterion': 'gini', 'max_depth': 10, 'max_features': 1, 'min_samples_leaf': 7, 'min_samples_split': 15, 'name': 'DTC', 'random_state': 29}, 'sub': {'random_state': 29, 'smo_grp': 'COMBINE', 'type': 'SMOTETomek'}}",DTC-Combine Resampling,DTC-SMOTETomek
291,vehicle0,TPE,29,SVM,SVMSMOTE,Over Resampling,0.9871621693167104,"{'classifier': {'C': 40.352990102325165, 'coef0': 0.4815786302194765, 'degree': 3, 'gamma': 'scale', 'gamma_value': 3.017197197585807, 'kernel': 'rbf', 'name': 'SVM', 'probability': False, 'random_state': 29, 'shrinking': True, 'tol': 0.0920819797087162}, 'sub': {'k_neighbors': 7, 'm_neighbors': 3, 'out_step': 0.591486754392182, 'random_state': 29, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",SVM-Over Resampling,SVM-SVMSMOTE
292,yeast6,TPE,59,LR,KMeansSMOTE,Over Resampling,0.8956323394022954,"{'classifier': {'C': 11.631020114648761, 'l1_ratio': 0.7000798419690593, 'name': 'LR', 'penalty_solver': 'none+saga', 'random_state': 59, 'tol': 0.023293881871298334}, 'sub': {'cluster_balance_threshold': 0.040461446709676184, 'k_neighbors': 9, 'random_state': 59, 'smo_grp': 'OVER', 'type': 'KMeansSMOTE'}}",LR-Over Resampling,LR-KMeansSMOTE
293,wisconsin,TPE,29,RF,No Resampling,No Resampling,0.9810538132896524,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 1, 'min_samples_leaf': 14, 'min_samples_split': 14, 'n_estimators': 25, 'name': 'RF', 'random_state': 29}, 'sub': {'smo_grp': 'NO', 'type': 'NO'}}",RF-No Resampling,RF-No Resampling
